Id,Description,Fixed Duration,Long Name,Module,Task Type,Transition End Type,Transition Start Type
Plane3_2AJ430-02-364C,Plane3|3|02,13680,Plane3_2AJ430-02-364C,Plane3_02,JOB,,
Plane3_2AJ430-02-401C,Plane3|3|02,41400,Plane3_2AJ430-02-401C,Plane3_02,JOB,,
Plane3_2AJ430-02-402C,Plane3|3|02,20160,Plane3_2AJ430-02-402C,Plane3_02,JOB,,
Plane3_2AJ430-02-650C,Plane3|3|02,11880,Plane3_2AJ430-02-650C,Plane3_02,JOB,,
Plane3_2AJ430-02-652C,Plane3|3|02,6480,Plane3_2AJ430-02-652C,Plane3_02,JOB,,
Plane3_2AJ430-02-672C,Plane3|3|02,14760,Plane3_2AJ430-02-672C,Plane3_02,JOB,,
Plane3_2AJ430-02-673C,Plane3|3|02,16560,Plane3_2AJ430-02-673C,Plane3_02,JOB,,
Plane3_2AJ430-02-718Y,Plane3|3|02,27000,Plane3_2AJ430-02-718Y,Plane3_02,JOB,,
Plane3_2AJ430-02-730CA,Plane3|3|02,7200,Plane3_2AJ430-02-730CA,Plane3_02,JOB,,
Plane3_2AJ430-02-750C,Plane3|3|02,6480,Plane3_2AJ430-02-750C,Plane3_02,JOB,,
Plane3_2AJ430-02-758C,Plane3|3|02,15840,Plane3_2AJ430-02-758C,Plane3_02,JOB,,
Plane3_2AJ430-02-760C,Plane3|3|02,10800,Plane3_2AJ430-02-760C,Plane3_02,JOB,,
Plane3_2AJ430-02-764W,Plane3|3|02,4680,Plane3_2AJ430-02-764W,Plane3_02,JOB,,
Plane3_2AJ430-02-835W,Plane3|3|02,36000,Plane3_2AJ430-02-835W,Plane3_02,JOB,,
Plane3_2AJ430-02-8A17,Plane3|3|02,54000,Plane3_2AJ430-02-8A17,Plane3_02,JOB,,
Plane3_2AJ430-02-8A36A,Plane3|3|02,19800,Plane3_2AJ430-02-8A36A,Plane3_02,JOB,,
Plane3_2AJ430-02-8A43A,Plane3|3|02,26640,Plane3_2AJ430-02-8A43A,Plane3_02,JOB,,
Plane3_2AJ430-02-8A51,Plane3|3|02,55080,Plane3_2AJ430-02-8A51,Plane3_02,JOB,,
Plane3_2AJ430-02-8A52,Plane3|3|02,81000,Plane3_2AJ430-02-8A52,Plane3_02,JOB,,
Plane3_2AJ430-02-8A53,Plane3|3|02,36360,Plane3_2AJ430-02-8A53,Plane3_02,JOB,,
Plane3_2AJ430-02-8B36,Plane3|3|02,19080,Plane3_2AJ430-02-8B36,Plane3_02,JOB,,
Plane3_2AJ430-02-908U,Plane3|3|02,9000,Plane3_2AJ430-02-908U,Plane3_02,JOB,,
Plane3_2AJ430-02-909UA,Plane3|3|02,9360,Plane3_2AJ430-02-909UA,Plane3_02,JOB,,
Plane3_2AJ430-02-910U,Plane3|3|02,24840,Plane3_2AJ430-02-910U,Plane3_02,JOB,,
Plane3_2AJ430-02-911UA,Plane3|3|02,15840,Plane3_2AJ430-02-911UA,Plane3_02,JOB,,
Plane3_2AJ430-02-952CA,Plane3|3|02,7559,Plane3_2AJ430-02-952CA,Plane3_02,JOB,,
Plane3_2AJ430-02-953CA,Plane3|3|02,8280,Plane3_2AJ430-02-953CA,Plane3_02,JOB,,
Plane3_2AJ430-02-954C,Plane3|3|02,14400,Plane3_2AJ430-02-954C,Plane3_02,JOB,,
Plane3_2AJ430-02-955C,Plane3|3|02,10800,Plane3_2AJ430-02-955C,Plane3_02,JOB,,
Plane3_2AJ430-02-956WA,Plane3|3|02,12240,Plane3_2AJ430-02-956WA,Plane3_02,JOB,,
Plane3_2AJ430-02-957CA,Plane3|3|02,12240,Plane3_2AJ430-02-957CA,Plane3_02,JOB,,
Plane3_2AJ430-02-958W,Plane3|3|02,33480,Plane3_2AJ430-02-958W,Plane3_02,JOB,,
Plane3_2AJ430-02-959WA,Plane3|3|02,11160,Plane3_2AJ430-02-959WA,Plane3_02,JOB,,
Plane3_2AJ430-02-961WA,Plane3|3|02,29520,Plane3_2AJ430-02-961WA,Plane3_02,JOB,,
Plane3_2AJ430-02-975U,Plane3|3|02,6120,Plane3_2AJ430-02-975U,Plane3_02,JOB,,
Plane3_2AJ430-03-110YB,Plane3|4|03,16560,Plane3_2AJ430-03-110YB,Plane3_03,JOB,,
Plane3_2AJ430-03-111U,Plane3|4|03,46440,Plane3_2AJ430-03-111U,Plane3_03,JOB,,
Plane3_2AJ430-03-113U,Plane3|4|03,9720,Plane3_2AJ430-03-113U,Plane3_03,JOB,,
Plane3_2AJ430-03-117U,Plane3|4|03,38880,Plane3_2AJ430-03-117U,Plane3_03,JOB,,
Plane3_2AJ430-03-120UA,Plane3|4|03,10800,Plane3_2AJ430-03-120UA,Plane3_03,JOB,,
Plane3_2AJ430-03-122U,Plane3|4|03,22320,Plane3_2AJ430-03-122U,Plane3_03,JOB,,
Plane3_2AJ430-03-124UA,Plane3|4|03,46800,Plane3_2AJ430-03-124UA,Plane3_03,JOB,,
Plane3_2AJ430-03-126UA,Plane3|4|03,21600,Plane3_2AJ430-03-126UA,Plane3_03,JOB,,
Plane3_2AJ430-03-146U,Plane3|4|03,24120,Plane3_2AJ430-03-146U,Plane3_03,JOB,,
Plane3_2AJ430-03-1MV3,Plane3|4|03,14400,Plane3_2AJ430-03-1MV3,Plane3_03,JOB,,
Plane3_2AJ430-03-204C,Plane3|4|03,14400,Plane3_2AJ430-03-204C,Plane3_03,JOB,,
Plane3_2AJ430-03-206C,Plane3|4|03,18000,Plane3_2AJ430-03-206C,Plane3_03,JOB,,
Plane3_2AJ430-03-207W,Plane3|4|03,75600,Plane3_2AJ430-03-207W,Plane3_03,JOB,,
Plane3_2AJ430-03-208WA,Plane3|4|03,54000,Plane3_2AJ430-03-208WA,Plane3_03,JOB,,
Plane3_2AJ430-03-209W,Plane3|4|03,67680,Plane3_2AJ430-03-209W,Plane3_03,JOB,,
Plane3_2AJ430-03-255W,Plane3|4|03,41400,Plane3_2AJ430-03-255W,Plane3_03,JOB,,
Plane3_2AJ430-03-257W,Plane3|4|03,21960,Plane3_2AJ430-03-257W,Plane3_03,JOB,,
Plane3_2AJ430-03-259W,Plane3|4|03,13680,Plane3_2AJ430-03-259W,Plane3_03,JOB,,
Plane3_2AJ430-03-261W,Plane3|4|03,12600,Plane3_2AJ430-03-261W,Plane3_03,JOB,,
Plane3_2AJ430-03-263W,Plane3|4|03,18000,Plane3_2AJ430-03-263W,Plane3_03,JOB,,
Plane3_2AJ430-03-265WA,Plane3|4|03,37800,Plane3_2AJ430-03-265WA,Plane3_03,JOB,,
Plane3_2AJ430-03-267CA,Plane3|4|03,16920,Plane3_2AJ430-03-267CA,Plane3_03,JOB,,
Plane3_2AJ430-03-310U,Plane3|4|03,28080,Plane3_2AJ430-03-310U,Plane3_03,JOB,,
Plane3_2AJ430-03-314U,Plane3|4|03,21600,Plane3_2AJ430-03-314U,Plane3_03,JOB,,
Plane3_2AJ430-03-315UA,Plane3|4|03,15840,Plane3_2AJ430-03-315UA,Plane3_03,JOB,,
Plane3_2AJ430-03-316U,Plane3|4|03,18720,Plane3_2AJ430-03-316U,Plane3_03,JOB,,
Plane3_2AJ430-03-318U,Plane3|4|03,11520,Plane3_2AJ430-03-318U,Plane3_03,JOB,,
Plane3_2AJ430-03-320U,Plane3|4|03,11520,Plane3_2AJ430-03-320U,Plane3_03,JOB,,
Plane3_2AJ430-03-322U,Plane3|4|03,18000,Plane3_2AJ430-03-322U,Plane3_03,JOB,,
Plane3_2AJ430-03-323U,Plane3|4|03,23040,Plane3_2AJ430-03-323U,Plane3_03,JOB,,
Plane3_2AJ430-03-324U,Plane3|4|03,21600,Plane3_2AJ430-03-324U,Plane3_03,JOB,,
Plane3_2AJ430-03-325UA,Plane3|4|03,26640,Plane3_2AJ430-03-325UA,Plane3_03,JOB,,
Plane3_2AJ430-03-326U,Plane3|4|03,18000,Plane3_2AJ430-03-326U,Plane3_03,JOB,,
Plane3_2AJ430-03-328U,Plane3|4|03,10440,Plane3_2AJ430-03-328U,Plane3_03,JOB,,
Plane3_2AJ430-03-330UA,Plane3|4|03,22320,Plane3_2AJ430-03-330UA,Plane3_03,JOB,,
Plane3_2AJ430-03-331U,Plane3|4|03,9000,Plane3_2AJ430-03-331U,Plane3_03,JOB,,
Plane3_2AJ430-03-332UA,Plane3|4|03,18000,Plane3_2AJ430-03-332UA,Plane3_03,JOB,,
Plane3_2AJ430-03-333U,Plane3|4|03,9000,Plane3_2AJ430-03-333U,Plane3_03,JOB,,
Plane3_2AJ430-03-334U,Plane3|4|03,18000,Plane3_2AJ430-03-334U,Plane3_03,JOB,,
Plane3_2AJ430-03-407W,Plane3|4|03,70200,Plane3_2AJ430-03-407W,Plane3_03,JOB,,
Plane3_2AJ430-03-408W,Plane3|4|03,45000,Plane3_2AJ430-03-408W,Plane3_03,JOB,,
Plane3_2AJ430-03-410W,Plane3|4|03,36000,Plane3_2AJ430-03-410W,Plane3_03,JOB,,
Plane3_2AJ430-03-552X,Plane3|4|03,23040,Plane3_2AJ430-03-552X,Plane3_03,JOB,,
Plane3_2AJ430-03-553WA,Plane3|4|03,32039,Plane3_2AJ430-03-553WA,Plane3_03,JOB,,
Plane3_2AJ430-03-554WA,Plane3|4|03,28800,Plane3_2AJ430-03-554WA,Plane3_03,JOB,,
Plane3_2AJ430-03-555WA,Plane3|4|03,26280,Plane3_2AJ430-03-555WA,Plane3_03,JOB,,
Plane3_2AJ430-03-556WA,Plane3|4|03,39600,Plane3_2AJ430-03-556WA,Plane3_03,JOB,,
Plane3_2AJ430-03-557W,Plane3|4|03,30960,Plane3_2AJ430-03-557W,Plane3_03,JOB,,
Plane3_2AJ430-03-559WA,Plane3|4|03,59760,Plane3_2AJ430-03-559WA,Plane3_03,JOB,,
Plane3_2AJ430-03-560WA,Plane3|4|03,20160,Plane3_2AJ430-03-560WA,Plane3_03,JOB,,
Plane3_2AJ430-03-624WA,Plane3|4|03,70560,Plane3_2AJ430-03-624WA,Plane3_03,JOB,,
Plane3_2AJ430-03-626WA,Plane3|4|03,17640,Plane3_2AJ430-03-626WA,Plane3_03,JOB,,
Plane3_2AJ430-03-628WA,Plane3|4|03,21600,Plane3_2AJ430-03-628WA,Plane3_03,JOB,,
Plane3_2AJ430-03-629WA,Plane3|4|03,53280,Plane3_2AJ430-03-629WA,Plane3_03,JOB,,
Plane3_2AJ430-03-630X,Plane3|4|03,14040,Plane3_2AJ430-03-630X,Plane3_03,JOB,,
Plane3_2AJ430-03-631WA,Plane3|4|03,40320,Plane3_2AJ430-03-631WA,Plane3_03,JOB,,
