_0CanalsId.id,_0CanalsId.fromNode,_0CanalsId.toNode,_0CanalsId.fromNodeType,_0CanalsId.toNodeType,_0CanalsId.minInputFlow,_0CanalsId.maxInputFlow,_0CanalsId.initialInputFlow,_0CanalsId.initialOutputFlow,_0CanalsId.operationCost,_0CanalsId.hydroelectricEfficiency,_0CanalsId.hydroelectricHeight,_0CanalsId.waveTripTime,_0CanalsId.waveFading,_0CanalsId.name,_1PeriodsValue,value
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,2,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,3,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,4,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,5,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,6,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,7,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,8,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,9,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,10,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,11,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,12,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,13,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,14,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,15,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,16,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,17,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,18,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,19,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,20,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,21,2.809
11,6,2,2,2,0.1,6,0.191,0.191,1000,100,0,5483,0.2,Canal 11,22,2.809
