"_0TanksId.id","_0TanksId.maximumCapacity","_0TanksId.alarmLevelDown","_0TanksId.alarmLevelUp","_0TanksId.warningLevelDown","_0TanksId.warningLevelHigh","_0TanksId.nbHoursInputRequired","_0TanksId.initialVolume","_0TanksId.warningLevelInputPenalty","_0TanksId.alarmLevelInputPenalty","_0TanksId.minReserveHoursPenalty","_0TanksId.name","_1PeriodsValue",volume,outFlow,inFlow
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,19,1.347E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,20,1.380E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,21,1.413E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,22,1.446E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,23,1.478E+4,0.1000,0.1910
3,4.000E+4,2000,3.800E+4,5000,3.200E+4,0,7250,1,2,0,Tank 3,24,1.511E+4,0.1000,0.1910
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,1,2850,0.3640,0.2111
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,2,2823,0.375,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,3,2739,0.3910,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,4,2651,0.3920,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,5,2599,0.3820,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,6,2565,0.3770,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,7,2517,0.3810,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,8,2469,0.3810,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,9,2302,0.4140,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,10,2247,0.3830,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,11,2195,0.3820,0.3676
4,1.000E+4,500,9000,1000,8000,0,3400,1,2,0,Tank 4,12,2176,0.3730,0.3676
