dcId,productId,customerId,ship
2301,SKU 1099,90731,0.0
2301,SKU 1099,90744,0.0
2301,SKU 1099,90745,0.0
2301,SKU 1099,90805,0.0
2301,SKU 1099,91331,0.0
2301,SKU 1099,91335,0.0
2301,SKU 1099,91342,0.0
2301,SKU 1099,91343,0.0
2301,SKU 1099,91344,0.0
2301,SKU 1099,91351,0.0
2301,SKU 1099,91402,0.0
2301,SKU 1099,91605,0.0
2301,SKU 1099,91702,0.0
2301,SKU 1099,91706,0.0
2301,SKU 1099,91709,0.0
2301,SKU 1099,91710,0.0
2301,SKU 1099,91730,0.0
2301,SKU 1099,91732,0.0
2301,SKU 1099,91744,0.0
2301,SKU 1099,91745,0.0
2301,SKU 1099,91761,0.0
2301,SKU 1099,91766,0.0
2301,SKU 1099,91770,0.0
2301,SKU 1099,91801,0.0
2301,SKU 1099,91911,0.0
2301,SKU 1099,91950,0.0
2301,SKU 1099,91977,0.0
2301,SKU 1099,92021,0.0
2301,SKU 1099,92054,0.0
2301,SKU 1099,92069,0.0
2301,SKU 1099,92071,0.0
2301,SKU 1099,92083,0.0
2301,SKU 1099,92126,0.0
2301,SKU 1099,92335,0.0
2301,SKU 1099,92345,0.0
2301,SKU 1099,92376,0.0
2301,SKU 1099,92392,0.0
2301,SKU 1099,92404,0.0
2301,SKU 1099,92503,0.0
2301,SKU 1099,92509,0.0
2301,SKU 1099,92553,0.0
2301,SKU 1099,92627,0.0
2301,SKU 1099,92630,0.0
2301,SKU 1099,92646,0.0
2301,SKU 1099,92677,0.0
2301,SKU 1099,92683,0.0
2301,SKU 1099,92704,0.0
2301,SKU 1099,92708,0.0
2301,SKU 1099,92780,0.0
2301,SKU 1099,92804,0.0
2301,SKU 1099,92870,0.0
2301,SKU 1099,92882,0.0
2301,SKU 1099,93030,0.0
2301,SKU 1099,93065,0.0
2301,SKU 1099,93257,0.0
2301,SKU 1099,93274,0.0
2301,SKU 1099,93309,0.0
2301,SKU 1099,93535,0.0
2301,SKU 1099,93550,0.0
2301,SKU 1099,93722,0.0
2301,SKU 1099,94015,0.0
2301,SKU 1099,94080,0.0
2301,SKU 1099,94086,0.0
2301,SKU 1099,94110,0.0
2301,SKU 1099,94501,0.0
2301,SKU 1099,94509,0.0
2301,SKU 1099,94533,0.0
2301,SKU 1099,94536,0.0
2301,SKU 1099,94544,0.0
