Pool,Skill,Task,Quantity
Sta03_Elec,SKILL,Plane1_2BJ430-03-074W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-076W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-078W,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-110Y,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-113U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-120U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-128U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-130U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-132U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-162U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-168U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-169C,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-170U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-171U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-172U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-173U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-194U,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-1MV3,2
Sta03_Plumb,SKILL,Plane1_2BJ430-03-204C,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-206C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-207W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-208W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-209W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-211C,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-212W,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-336U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-337U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-338U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-339U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-341U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-343U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-345U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-347U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-349U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-369U,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-408W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-410W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-552W,2
Sta03_Elec,SKILL,Plane1_2BJ430-03-553W,2
Sta03_Elec,SKILL,Plane1_2BJ430-03-554W,2
Sta03_Elec,SKILL,Plane1_2BJ430-03-555C,2
Sta03_Elec,SKILL,Plane1_2BJ430-03-557W,2
Sta03_Elec,SKILL,Plane1_2BJ430-03-558W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-559W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-560W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-624W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-626W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-629W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-630W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-631W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-633W,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-680U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-703UA,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-766W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-768W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-835W,1
Sta03_Test,SKILL,Plane1_2BJ430-03-8A10A,1
Sta03_Test,SKILL,Plane1_2BJ430-03-8A35,1
Sta03_Test,SKILL,Plane1_2BJ430-03-8A36,1
Sta03_Test,SKILL,Plane1_2BJ430-03-8A37,1
Sta03_Test,SKILL,Plane1_2BJ430-03-8A47,1
Sta03_Test,SKILL,Plane1_2BJ430-03-8B52,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-969C,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-972U,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-981WA,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-982WA,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-983W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-984W,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-985WA,1
Sta03_Elec,SKILL,Plane1_2BJ430-03-986WA,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-992U,1
Sta03_Plumb,SKILL,Plane1_2BJ430-03-997U,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-015Y,1
Sta04_Struct,SKILL,Plane1_2BJ430-04-023C,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-033W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-035W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-037C,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-039C,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-071W,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-073WA,1
Sta04_Elec,SKILL,Plane1_2BJ430-04-077WA,1
Sta04_Plumb,SKILL,Plane1_2BJ430-04-119U,1
