id_of_Task,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
Plane5_2BJ430-02-981YA,2394000.0,2417760.0,23760.0,2017-12-04 23:00:00,2017-12-05 05:36:00,0,1
Plane5_2BJ430-02-982YA,2394000.0,2419560.0,25560.0,2017-12-04 23:00:00,2017-12-05 06:06:00,0,1
Plane5_2BJ430-02-983YA,2414520.0,2427840.0,13320.0,2017-12-05 04:42:00,2017-12-05 08:24:00,0,1
Plane5_2BJ430-02-984YA,2408040.0,2421360.0,13320.0,2017-12-05 02:54:00,2017-12-05 06:36:00,0,1
Plane5_2BJ430-02-988U,2516400.0,2541240.0,24840.0,2017-12-06 09:00:00,2017-12-06 15:54:00,0,1
Plane5_2BJ430-02-993U,2394000.0,2434320.0,40320.0,2017-12-04 23:00:00,2017-12-05 10:12:00,0,1
Plane5_2BJ430-03-045C,2932200.0,2952360.0,20160.0,2017-12-11 04:30:00,2017-12-11 10:06:00,0,1
Plane5_2BJ430-03-046C,2932200.0,2946240.0,14040.0,2017-12-11 04:30:00,2017-12-11 08:24:00,0,1
Plane5_2BJ430-03-057C,2973600.0,3001680.0,28080.0,2017-12-11 16:00:00,2017-12-11 23:48:00,0,1
Plane5_2BJ430-03-058C,2985120.0,3002760.0,17640.0,2017-12-11 19:12:00,2017-12-12 00:06:00,0,1
Plane5_2BJ430-03-059C,3001680.0,3021120.0,19440.0,2017-12-11 23:48:00,2017-12-12 05:12:00,0,1
Plane5_2BJ430-03-060C,3002760.0,3017160.0,14400.0,2017-12-12 00:06:00,2017-12-12 04:06:00,0,1
Plane5_2BJ430-03-061C,3021120.0,3047040.0,25920.0,2017-12-12 05:12:00,2017-12-12 12:24:00,0,1
Plane5_2BJ430-03-062C,3032640.0,3049560.0,16920.0,2017-12-12 08:24:00,2017-12-12 13:06:00,0,1
Plane5_2BJ430-03-065W,3049560.0,3067200.0,17640.0,2017-12-12 13:06:00,2017-12-12 18:00:00,0,1
Plane5_2BJ430-03-066W,3051720.0,3054960.0,3240.0,2017-12-12 13:42:00,2017-12-12 14:36:00,0,1
Plane5_2BJ430-03-067W,3067200.0,3097080.0,29880.0,2017-12-12 18:00:00,2017-12-13 02:18:00,0,1
Plane5_2BJ430-03-068W,3054960.0,3060000.0,5040.0,2017-12-12 14:36:00,2017-12-12 16:00:00,0,1
Plane5_2BJ430-03-069W,3097080.0,3110760.0,13680.0,2017-12-13 02:18:00,2017-12-13 06:06:00,0,1
Plane5_2BJ430-03-070W,3101760.0,3110760.0,9000.0,2017-12-13 03:36:00,2017-12-13 06:06:00,0,1
Plane5_2BJ430-03-072W,3143160.0,3159360.0,16200.0,2017-12-13 15:06:00,2017-12-13 19:36:00,0,1
Plane5_2BJ430-03-074W,3125160.0,3143160.0,18000.0,2017-12-13 10:06:00,2017-12-13 15:06:00,0,1
Plane5_2BJ430-03-076W,3110760.0,3125160.0,14400.0,2017-12-13 06:06:00,2017-12-13 10:06:00,0,1
Plane5_2BJ430-03-078W,3159360.0,3224160.0,64800.0,2017-12-13 19:36:00,2017-12-14 13:36:00,0,1
Plane5_2BJ430-03-110Y,3069360.0,3101760.0,32400.0,2017-12-12 18:36:00,2017-12-13 03:36:00,0,1
Plane5_2BJ430-03-113U,3135600.0,3152160.0,16560.0,2017-12-13 13:00:00,2017-12-13 17:36:00,0,1
Plane5_2BJ430-03-120U,2946960.0,2964960.0,18000.0,2017-12-11 08:36:00,2017-12-11 13:36:00,0,1
Plane5_2BJ430-03-128U,3143160.0,3171600.0,28440.0,2017-12-13 15:06:00,2017-12-13 23:00:00,0,1
Plane5_2BJ430-03-130U,3044160.0,3069360.0,25200.0,2017-12-12 11:36:00,2017-12-12 18:36:00,0,1
Plane5_2BJ430-03-132U,2929680.0,2947320.0,17640.0,2017-12-11 03:48:00,2017-12-11 08:42:00,0,1
Plane5_2BJ430-03-162U,2925720.0,2946960.0,21240.0,2017-12-11 02:42:00,2017-12-11 08:36:00,0,1
Plane5_2BJ430-03-168U,3101760.0,3143160.0,41400.0,2017-12-13 03:36:00,2017-12-13 15:06:00,0,1
Plane5_2BJ430-03-169C,3103200.0,3135600.0,32400.0,2017-12-13 04:00:00,2017-12-13 13:00:00,0,1
Plane5_2BJ430-03-170U,3094200.0,3111840.0,17640.0,2017-12-13 01:30:00,2017-12-13 06:24:00,0,1
Plane5_2BJ430-03-171U,2912400.0,2929680.0,17280.0,2017-12-10 23:00:00,2017-12-11 03:48:00,0,1
Plane5_2BJ430-03-172U,3111840.0,3139920.0,28080.0,2017-12-13 06:24:00,2017-12-13 14:12:00,0,1
Plane5_2BJ430-03-173U,2949120.0,2999520.0,50400.0,2017-12-11 09:12:00,2017-12-11 23:12:00,0,1
Plane5_2BJ430-03-194U,2912400.0,2925720.0,13320.0,2017-12-10 23:00:00,2017-12-11 02:42:00,0,1
Plane5_2BJ430-03-1MV3,3063960.0,3078360.0,14400.0,2017-12-12 17:06:00,2017-12-12 21:06:00,0,1
Plane5_2BJ430-03-204C,2964960.0,2990160.0,25200.0,2017-12-11 13:36:00,2017-12-11 20:36:00,0,1
Plane5_2BJ430-03-206C,2989080.0,2999520.0,10440.0,2017-12-11 20:18:00,2017-12-11 23:12:00,0,1
Plane5_2BJ430-03-207W,3004200.0,3055680.0,51480.0,2017-12-12 00:30:00,2017-12-12 14:48:00,0,1
Plane5_2BJ430-03-208W,2993760.0,3044160.0,50400.0,2017-12-11 21:36:00,2017-12-12 11:36:00,0,1
Plane5_2BJ430-03-209W,3055680.0,3103200.0,47520.0,2017-12-12 14:48:00,2017-12-13 04:00:00,0,1
